,0
f12,0.24887568797110696
f25,0.13474650019518644
f3,0.13420018362880765
f2,0.0493634479327318
f0,0.0413800579885915
f1,0.03580434572293684
f24,0.03365557683193577
f77,0.03229192723596844
f23,0.03172131026447428
f11,0.019286363033512444
f8,0.016570437009157918
f16,0.01619499451335247
f10,0.01381210145373264
f7,0.01376981401825941
f20,0.013271778273914413
f15,0.013148880231161312
f9,0.011138286981420073
f6,0.010363171526181105
f74,0.009167235382072068
f32,0.007772488882331033
f31,0.00757014049306754
f59,0.006379898373227932
f64,0.006042183289423008
f18,0.0058406513547990075
f45,0.005061017951259135
f26,0.004976137600178539
f19,0.004887740580338941
f34,0.004835322460623045
f55,0.004733283559292154
f54,0.0042972580110332914
f75,0.004030842215131062
f14,0.0037789811050900498
f57,0.003626618416118104
f62,0.003208097090236472
f17,0.0030779464610526043
f51,0.0030066151698474124
f39,0.002886852167639531
f50,0.0028837656326041574
f13,0.002763183659512257
f48,0.0026614552747032307
f36,0.002523872909168137
f44,0.0020917379060198297
f29,0.0020591202326250956
f42,0.0019666838352897305
f33,0.0018358056878498578
f56,0.0014926115207156683
f37,0.0014640128635068758
f49,0.001055920775897056
f53,0.0010057686111962115
f40,0.0009863994446987641
f30,0.0009321950155434154
f68,0.000894991950435185
f73,0.000739365346393218
f35,0.0006824055671025984
f72,0.0006659813001065654
f58,0.0005648583585922009
f70,0.0005555863139749702
f41,0.0005389935573123993
f27,0.00048447633962903677
f22,0.0004817111498399429
f60,0.00045593263574115214
f69,0.0004367375853211458
f76,0.00041883435746025544
f63,0.0004162113198991415
f66,0.00040952165256109136
f46,0.00038652723940175087
f71,0.0003440914924088569
f38,0.0003170608615586831
f61,0.0002876670584602109
f43,0.00026931402444316997
f65,8.717667282895765e-05
f52,6.584647200678146e-05
f21,0.0
f28,0.0
f47,0.0
f5,0.0
f4,0.0
f67,0.0
